time,美女と野獣_魔法の物語,スプラッシュマウンテン,ベイマックスのハッピーランド,ビッグサンダーマウンテン,ホーンテッドマンション,プーさんのハニーハント,バズ・ライトイヤーのアストロブスター,スペース・マウンテン,ピーターパン空の旅,空飛ぶダンボ,モンスターズ・インク_ライド&ゴーシーク!,ロジャーラビットのカートゥーンスピン,イッツ・ア・スモールワールド,ジャングルクルーズ
9.25,165,55,80,40,5,50,30,40,20,25,35,10,10,10
9.75,150,50,80,50,15,45,40,55,30,30,0,10,20,10
10.25,155,45,75,45,35,40,45,50,40,40,0,20,20,20
10.75,140,55,85,45,35,50,40,45,30,30,0,25,20,25
11.25,140,55,60,45,35,45,35,45,40,30,45,30,20,30
11.75,125,50,75,50,35,45,50,45,40,40,30,30,20,20
12.25,125,55,80,50,40,50,30,45,40,40,35,25,20,15
12.75,120,65,50,50,20,50,30,45,35,40,40,20,15,20
13.25,120,60,55,30,25,40,30,45,35,35,30,25,10,15
13.75,110,50,65,50,20,50,35,50,40,35,35,30,20,25
14.25,110,55,65,50,20,45,35,45,50,40,45,30,25,30
14.75,120,55,70,45,20,40,40,45,40,50,40,30,20,25
15.25,130,50,55,35,25,45,35,40,35,40,35,20,15,25
15.75,120,55,50,45,15,35,15,40,35,35,25,30,10,25
16.25,130,60,40,50,15,55,40,60,45,35,45,30,25,25
16.75,120,65,70,45,13,40,40,50,35,45,40,25,20,30
17.25,135,60,70,45,15,40,30,50,40,35,40,25,20,30
17.75,140,60,65,40,25,40,35,45,40,40,35,10,15,35
18.25,120,50,50,35,13,40,15,35,25,40,20,5,15,30
18.75,105,45,50,30,35,30,5,30,30,25,15,15,5,15
19.25,95,45,45,45,40,35,25,40,35,30,30,10,15,5
19.75,90,40,75,35,35,40,20,40,30,35,30,10,20,10
20.25,,,,,,,,,,,,,,
20.75,,,,,,,,,,,,,,
